top - 18:03:22 up  4:44,  1 user,  load average: 0.19, 0.26, 0.35
Tasks: 377 total,   1 running, 361 sleeping,  14 stopped,   1 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15677.4 total,   7091.2 free,   5490.7 used,   3921.4 buff/cache     
MiB Swap:   2048.0 total,    427.5 free,   1620.5 used.  10186.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     91 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.73 kcompac+
     95 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     96 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root     -51   0       0      0      0 S   0.0   0.0   0:18.16 irq/9-a+
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.26 kworker+
    114 root      20   0       0      0      0 S   0.0   0.0   0:03.85 kswapd0
    115 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    121 root      20   0       0      0      0 S   0.0   0.0   0:00.23 hwrng
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.88 kworker+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.63 kworker+
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker+
    182 root       0 -20       0      0      0 I   0.0   0.0   0:00.67 kworker+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.30 kworker+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.09 kworker+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.37 kworker+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.56 kworker+
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.83 kworker+
    298 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    299 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    300 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    301 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    302 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/160+
    305 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    345 root      20   0       0      0      0 S   0.0   0.0   0:01.61 jbd2/nv+
    346 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    391 root      19  -1   67888  14204  13180 S   0.0   0.1   0:01.52 systemd+
    442 root      20   0   30692   4412   1024 S   0.0   0.0   0:00.26 systemd+
    505 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    637 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    639 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/174+
    696 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    745 root     -51   0       0      0      0 S   0.0   0.0   0:05.90 irq/175+
    746 root     -51   0       0      0      0 S   0.0   0.0   0:00.56 irq/176+
    747 root     -51   0       0      0      0 S   0.0   0.0   0:00.50 irq/177+
    748 root     -51   0       0      0      0 S   0.0   0.0   0:00.38 irq/178+
    749 root     -51   0       0      0      0 S   0.0   0.0   0:01.93 irq/179+
    751 root     -51   0       0      0      0 S   0.0   0.0   0:01.39 irq/180+
    753 root     -51   0       0      0      0 S   0.0   0.0   0:00.58 irq/181+
    755 root     -51   0       0      0      0 S   0.0   0.0   0:01.02 irq/182+
    757 root     -51   0       0      0      0 S   0.0   0.0   0:00.67 irq/183+
    759 root     -51   0       0      0      0 S   0.0   0.0   0:00.54 irq/184+
    761 root     -51   0       0      0      0 S   0.0   0.0   0:00.71 irq/185+
    763 root     -51   0       0      0      0 S   0.0   0.0   0:01.41 irq/186+
    765 root     -51   0       0      0      0 S   0.0   0.0   0:00.67 irq/187+
    767 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/188+
    864 systemd+  20   0   17560   2816   2176 S   0.0   0.0   0:03.22 systemd+
    866 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
    868 systemd+  20   0   91048   2816   2304 S   0.0   0.0   0:00.18 systemd+
    956 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    959 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    960 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    961 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    962 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    966 root      20   0  313292   1120    736 S   0.0   0.0   0:00.49 account+
    969 avahi     20   0    8616   1152   1024 S   0.0   0.0   0:00.29 avahi-d+
    970 root      20   0   13416    256      0 S   0.0   0.0   0:00.03 bluetoo+
    972 root      20   0    9424   1280   1152 S   0.0   0.0   0:00.03 cron
    973 message+  20   0   12516   4308   1408 S   0.0   0.0   0:02.58 dbus-da+
    977 gnome-r+  20   0  365476   2032    112 S   0.0   0.0   0:00.04 gnome-r+
    998 root      20   0   40644  10624    128 S   0.0   0.1   0:00.11 network+
    999 polkitd   20   0  390996   8164   4588 S   0.0   0.1   0:01.27 polkitd
   1000 root      20   0  313508    724    212 S   0.0   0.0   0:00.06 power-p+
   1006 root      20   0 2588820  23096   8320 S   0.0   0.1   0:02.09 snapd
   1008 root      20   0  309856    896    512 S   0.0   0.0   0:00.06 switche+
   1009 root      20   0   18196   3792   2560 S   0.0   0.0   0:00.34 systemd+
   1011 root      20   0  424904   4224   3456 S   0.0   0.0   0:12.10 thermald
   1012 root      20   0  470420   6864   3920 S   0.0   0.0   0:00.42 udisksd
   1018 avahi     20   0    8424    404    128 S   0.0   0.0   0:00.00 avahi-d+
   1028 clamav    20   0 1221760 308344   1280 S   0.0   1.9   0:10.43 clamd
   1043 root      20   0  467088  18028   9936 S   0.0   0.1   0:09.66 vpnagen+
   1044 syslog    20   0  222508   3584   1280 S   0.0   0.0   0:00.42 rsyslogd
   1126 root     -51   0       0      0      0 S   0.0   0.0   0:00.24 irq/190+
   1477 root      20   0  337068   9948   6876 S   0.0   0.1   0:02.35 Network+
   1486 root      20   0   18276   3712   2304 S   0.0   0.0   0:00.22 wpa_sup+
   1488 root      20   0  317596   4864   2816 S   0.0   0.0   0:02.22 upowerd
   1530 root      20   0  392032   1408      0 S   0.0   0.0   0:00.06 ModemMa+
   1854 root      20   0   38344   3200   2048 S   0.0   0.0   0:00.00 cupsd
   1857 root      20   0  118040   5504    512 S   0.0   0.0   0:00.03 unatten+
   1876 root      20   0  314824    768    128 S   0.0   0.0   0:00.02 gdm3
   1892 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1960 rtkit     21   1   22940   1920   1664 S   0.0   0.0   0:00.17 rtkit-d+
   2067 colord    20   0  320204   4720    368 S   0.0   0.0   0:00.10 colord
   2465 clamav    20   0  150432   4096   1664 S   0.0   0.0   0:00.14 freshcl+
   2467 cups-br+  20   0  268476   6400   3584 S   0.0   0.0   0:00.16 cups-br+
   2492 kernoops  20   0   12744   1428   1280 S   0.0   0.0   0:00.00 kernelo+
   2495 kernoops  20   0   12744   1684   1280 S   0.0   0.0   0:00.01 kernelo+
   2511 root      20   0 1029544  10548     64 S   0.0   0.1   0:01.81 ciscod
   2522 root      20   0   80680   4352   1664 S   0.0   0.0   0:00.22 nmbd
   2527 root      20   0   92884   7680   4736 S   0.0   0.0   0:00.17 smbd
   2531 root      20   0   90408   3548    384 S   0.0   0.0   0:00.02 smbd-no+
   2532 root      20   0   90400   3420    256 S   0.0   0.0   0:00.02 smbd-cl+
   2557 root      20   0  242548   1600    256 S   0.0   0.0   0:00.03 gdm-ses+
   2570 pranesh   20   0   22932   8740   4096 S   0.0   0.1   0:01.33 systemd
   2575 pranesh   20   0   21400   1924    128 S   0.0   0.0   0:00.00 (sd-pam)
   2588 pranesh    9 -11  118096  11368   4780 S   0.0   0.1   0:01.84 pipewire
   2591 pranesh   20   0   97736    768    384 S   0.0   0.0   0:00.00 pipewire
   2593 pranesh    9 -11  406392   8320   4480 S   0.0   0.1   0:00.48 wireplu+
   2595 pranesh    9 -11  117036  13248   4796 S   0.0   0.1   0:01.75 pipewir+
   2597 pranesh   20   0  611592   4608   3712 S   0.0   0.0   0:00.10 gnome-k+
   2607 pranesh   20   0   11216   3200   1536 S   0.0   0.0   0:01.01 dbus-da+
   2640 pranesh   20   0  610292   3712   3200 S   0.0   0.0   0:00.07 xdg-doc+
   2644 pranesh   20   0  309308   3200   3072 S   0.0   0.0   0:00.01 xdg-per+
   2651 root      20   0    2704    128    128 S   0.0   0.0   0:00.00 fusermo+
   2698 pranesh   20   0  235668    896    512 S   0.0   0.0   0:00.00 gdm-way+
   2714 pranesh   20   0  298232   2176    384 S   0.0   0.0   0:00.01 gnome-s+
   2781 pranesh   20   0  162652   1024    384 S   0.0   0.0   0:00.00 gcr-ssh+
   2785 pranesh   20   0   91548    768    384 S   0.0   0.0   0:00.00 gnome-s+
   2799 pranesh   20   0  314264    384    256 S   0.0   0.0   0:00.03 gvfsd
   2810 pranesh   20   0  459708   1792   1280 S   0.0   0.0   0:00.00 gvfsd-f+
   2813 pranesh   20   0  520512   5888   3712 S   0.0   0.0   0:00.14 gnome-s+
   2859 pranesh   20   0 5566280 116648  53364 S   0.0   0.7   7:45.13 gnome-s+
   2862 pranesh   20   0  382960    512    256 S   0.0   0.0   0:00.00 at-spi-+
   2873 pranesh   20   0    9556   1024    896 S   0.0   0.0   0:00.04 dbus-da+
   2962 pranesh   20   0  236068   3712   3200 S   0.0   0.0   0:00.02 at-spi2+
   2982 pranesh   20   0  654796    256    256 S   0.0   0.0   0:00.02 gnome-s+
   2994 pranesh   20   0 2924804  15016  12288 S   0.0   0.1   0:00.13 gjs
   3001 pranesh   20   0 1275100   7808    256 S   0.0   0.0   0:00.06 evoluti+
   3019 pranesh   20   0  388656   4416   3200 S   0.0   0.0   0:17.79 ibus-da+
   3020 pranesh   20   0  383540   2688   2432 S   0.0   0.0   0:00.01 gsd-a11+
   3022 pranesh   20   0  412940   6272   3712 S   0.0   0.0   0:00.12 gsd-col+
   3024 pranesh   20   0  431684   3968   3072 S   0.0   0.0   0:00.02 gsd-dat+
   3027 pranesh   20   0  385292   4096   3456 S   0.0   0.0   0:00.31 gsd-hou+
   3031 pranesh   20   0  411800   4992   2816 S   0.0   0.0   0:00.07 gsd-key+
   3036 pranesh   20   0  594172   7740   4412 S   0.0   0.0   0:00.19 gsd-med+
   3051 pranesh   20   0  523564   7664   4208 S   0.0   0.0   0:00.12 gsd-pow+
   3055 pranesh   20   0  323756   4608   3328 S   0.0   0.0   0:00.03 gsd-pri+
   3058 pranesh   20   0  531084   3456   3072 S   0.0   0.0   0:00.03 gsd-rfk+
   3060 pranesh   20   0  309560   3328   3072 S   0.0   0.0   0:00.02 gsd-scr+
   3066 pranesh   20   0  543212   4992   3328 S   0.0   0.0   0:00.46 gsd-sha+
   3071 pranesh   20   0  385840   3456   2816 S   0.0   0.0   0:00.03 gsd-sma+
   3074 pranesh   20   0  393524   3840   2944 S   0.0   0.0   0:00.02 gsd-sou+
   3075 pranesh   20   0 1375468  36424   9216 S   0.0   0.2   0:17.57 diodon
   3076 pranesh   20   0  486496   6016   3072 S   0.0   0.0   0:00.08 gsd-wac+
   3118 pranesh   20   0  610936   9916   2088 S   0.0   0.1   0:00.54 xpad
   3126 pranesh   20   0  305492   4736   3072 S   0.0   0.0   0:00.01 gsd-dis+
   3137 pranesh   20   0  890332  19456   3712 S   0.0   0.1   0:04.38 autokey+
   3141 pranesh   20   0  903260  11752   1708 S   0.0   0.1   0:00.17 evoluti+
   3178 pranesh   20   0  236644    512    512 S   0.0   0.0   0:00.00 ibus-me+
   3180 pranesh   20   0  421540  12916   3624 S   0.0   0.1   0:04.91 ibus-ex+
   3200 pranesh   20   0  416236   2048    256 S   0.0   0.0   0:00.00 gsd-pri+
   3213 pranesh   20   0  389464   5504   3968 S   0.0   0.0   0:00.61 gvfs-ud+
   3216 pranesh   20   0  310424   3200   3072 S   0.0   0.0   0:00.04 ibus-po+
   3231 pranesh   20   0  310760    640    256 S   0.0   0.0   0:00.00 gvfs-gp+
   3236 pranesh   20   0 5660444  46932   5948 S   0.0   0.3   0:04.45 snap-st+
   3264 pranesh   20   0  389376   1152    384 S   0.0   0.0   0:00.85 gvfs-af+
   3283 pranesh   20   0  309772    768    384 S   0.0   0.0   0:00.00 gvfs-go+
   3299 pranesh   20   0  546684   3584   3456 S   0.0   0.0   0:00.03 goa-dae+
   3317 pranesh   20   0  389124   1280   1280 S   0.0   0.0   0:00.10 goa-ide+
   3326 pranesh   20   0  309792    640    128 S   0.0   0.0   0:00.00 gvfs-mt+
   3352 pranesh   20   0  615704  23132  16800 S   0.0   0.1   0:24.79 Xwayland
   3362 pranesh   20   0  890872   5632   3200 S   0.0   0.0   0:00.04 evoluti+
   3387 pranesh   20   0  825452   6784   3200 S   0.0   0.0   0:00.04 evoluti+
   3393 pranesh   20   0  236768   3840   3328 S   0.0   0.0   0:06.05 ibus-en+
   3430 pranesh   20   0  230356   1152    512 S   0.0   0.0   0:00.00 dconf-s+
   3436 pranesh   20   0  609440   3456   2560 S   0.0   0.0   0:00.02 gvfsd-t+
