top - 18:03:22 up  4:44,  1 user,  load average: 0.19, 0.26, 0.35
Tasks: 377 total,   1 running, 361 sleeping,  14 stopped,   1 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15677.4 total,   7091.2 free,   5490.7 used,   3921.4 buff/cache     
MiB Swap:   2048.0 total,    427.5 free,   1620.5 used.  10186.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  13303 pranesh   20   0   13028   4736   2688 S   0.0   0.0   0:00.26 bash
  13320 pranesh   20   0 1378.1g 990280 130352 S   0.0   6.2  25:57.02 chrome
  13341 pranesh   20   0 1376.4g  97352  69760 S   0.0   0.6   0:06.99 chrome
  13620 root      20   0       0      0      0 I   0.0   0.0   0:01.11 kworker+
  13667 pranesh   20   0 1376.4g  70712  18440 S   0.0   0.4   0:02.69 chrome
  15138 pranesh   20   0 1378.0g 101052  79160 S   0.0   0.6   0:11.92 chrome
  16218 pranesh   20   0  649900  30448   5344 S   0.0   0.2   0:00.49 gedit
  16335 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  16813 pranesh   20   0 1378.1g 251292 123024 S   0.0   1.6   0:22.67 chrome
  17033 pranesh   20   0   14532    256    256 T   0.0   0.0   0:00.03 top
  17039 pranesh   20   0    8672    256    256 T   0.0   0.0   0:00.00 less
  17830 pranesh   20   0   14532    256    256 T   0.0   0.0   0:00.07 top
  18104 root       0 -20       0      0      0 I   0.0   0.0   0:04.70 kworker+
  18117 root      20   0       0      0      0 I   0.0   0.0   0:00.19 kworker+
  18161 pranesh   20   0   14532   5504   3328 T   0.0   0.0   0:00.00 top
  18371 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker+
  18505 root      20   0       0      0      0 I   0.0   0.0   0:00.80 kworker+
  18566 root      20   0       0      0      0 I   0.0   0.0   0:00.33 kworker+
  18575 root      20   0       0      0      0 I   0.0   0.0   0:02.68 kworker+
  18577 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  18660 root      20   0   19580   7040   5888 T   0.0   0.0   0:00.00 sudo
  18661 pranesh   20   0    9276   2176   1920 T   0.0   0.0   0:00.03 grep
  18662 root      20   0   19580   2540   1280 S   0.0   0.0   0:00.00 sudo
  18663 root      20   0  114008 106368   3072 T   0.0   0.7   0:01.29 lsof
  18664 root      20   0   10908    512    256 T   0.0   0.0   0:00.00 lsof
  19389 pranesh   20   0 1376.3g  65032  56832 S   0.0   0.4   0:00.03 chrome
  19449 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19450 pranesh   20   0   14532   5504   3328 T   0.0   0.0   0:00.00 top
  19484 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19526 root      20   0       0      0      0 I   0.0   0.0   0:00.99 kworker+
  19541 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker+
  19542 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19547 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
  19554 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  19560 root       0 -20       0      0      0 I   0.0   0.0   0:00.80 kworker+
  19574 root      20   0       0      0      0 I   0.0   0.0   0:00.80 kworker+
  19592 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
  19598 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
  19616 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
  19618 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19770 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19771 root      20   0   19580   7040   5888 T   0.0   0.0   0:00.00 sudo
  19772 root      20   0   19580   2668   1408 S   0.0   0.0   0:00.00 sudo
  19773 root      20   0   28404  18688   7808 T   0.0   0.1   0:02.45 iotop
  19790 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19799 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
  19801 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
  19803 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
  19816 root      20   0   19580   7040   5888 T   0.0   0.0   0:00.00 sudo
  19817 root      20   0   19580   2540   1280 S   0.0   0.0   0:00.00 sudo
  19818 root      20   0   28404  18688   7936 T   0.0   0.1   0:00.73 iotop
  19825 pranesh   20   0   14500   5504   3328 T   0.0   0.0   0:00.10 top
  19826 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
  19834 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
  19841 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
  19850 root      20   0       0      0      0 I   0.0   0.0   0:00.29 kworker+
  19853 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
  19862 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19865 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19866 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19871 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
  19872 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19923 systemd+  20   0   21568  12416  10240 S   0.0   0.1   0:00.04 systemd+
  19947 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  19961 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  20087 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  20131 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  20419 pranesh   20   0   14496   5248   3200 R   0.0   0.0   0:00.00 top
